,x
33118_at,-0.559786042
39345_at,-0.559556575
36585_at,-0.559313813
33323_r_at,-0.559217458
31804_f_at,-0.559121851
2031_s_at,-0.558573522
1717_s_at,-0.558090421
39841_at,-0.557826805
994_at,-0.556007218
AFFX-HSAC07/X00351_M_at,-0.555299152
625_at,-0.555248752
34898_at,-0.554599455
2000_at,-0.554564371
37604_at,-0.551235144
38420_at,-0.551041839
32808_at,-0.550770418
39542_at,-0.545992595
37203_at,-0.545920749
35792_at,-0.544931672
1537_at,-0.543474298
34887_at,-0.542836683
38118_at,-0.542007076
38004_at,-0.541409003
1103_at,-0.540267417
224_at,-0.538757953
38882_r_at,-0.538694172
41027_at,-0.538222494
32317_s_at,-0.538205705
2087_s_at,-0.53808368
36073_at,-0.537580866
36925_at,-0.537531917
39091_at,-0.537462217
36785_at,-0.535670048
36070_at,-0.534870453
38138_at,-0.532929754
40369_f_at,-0.532398772
36009_at,-0.530874969
33381_at,-0.530306504
38764_at,-0.52923298
34520_at,-0.528988139
1833_at,-0.528736014
33410_at,-0.528242241
36493_at,-0.528195445
37876_at,-0.528189353
38021_at,-0.528133457
37827_r_at,-0.528124289
609_f_at,-0.52752101
37399_at,-0.526820704
36617_at,-0.525520398
34703_f_at,-0.525055449
39395_at,-0.524916224
37641_at,-0.524849777
1047_s_at,-0.524362179
35833_at,-0.52419044
37808_at,-0.524003631
408_at,-0.522278698
850_r_at,-0.521293466
999_at,-0.521121299
37421_f_at,-0.51907883
1325_at,-0.51830553
32724_at,-0.517511594
34265_at,-0.517492703
39532_at,-0.517295539
40303_at,-0.517113723
41320_s_at,-0.516507267
37304_at,-0.5164293
33367_s_at,-0.515954738
36202_at,-0.515841223
36657_at,-0.515342842
32175_at,-0.513441373
1045_s_at,-0.513275513
33370_r_at,-0.51197507
33235_at,-0.510693909
35289_at,-0.510654518
AFFX-HUMGAPDH/M33197_5_at,-0.510091357
40113_at,-0.508882013
36668_at,-0.508220045
40423_at,-0.507335676
36044_at,-0.507164836
39127_f_at,-0.507126059
34318_at,-0.506823315
40717_at,-0.506800819
38612_at,-0.506101431
38049_g_at,-0.505406844
36215_at,-0.504503729
35648_at,-0.503978735
38233_at,-0.503739628
34283_at,-0.503407907
31850_at,-0.501624663
41273_at,-0.5005775
32057_at,-0.500374672
36495_at,-0.499996249
38730_at,-0.499894081
37994_at,-0.499417599
37486_f_at,-0.499240677
37542_at,-0.498672312
AFFX-BioC-3_at,-0.49853662
38078_at,-0.498337403
31481_s_at,-0.498057143
35785_at,-0.497253032
32730_at,-0.495420386
34276_at,-0.495152611
1225_g_at,-0.494111969
33823_at,-0.493761547
39082_at,-0.493717086
39003_at,-0.492521827
39642_at,-0.492351946
38500_at,-0.492267232
39409_at,-0.4918
40468_at,-0.491784792
1718_at,-0.491625583
34202_at,-0.491007759
38086_at,-0.490759692
38700_at,-0.490708389
38968_at,-0.49067745
37484_at,-0.490052358
34778_at,-0.489682349
AFFX-HUMGAPDH/M33197_M_at,-0.489516556
32624_at,-0.489347059
38656_s_at,-0.489124024
40514_at,-0.488812261
33413_at,-0.488301684
34780_at,-0.487991594
38317_at,-0.487717008
32140_at,-0.487552583
1224_at,-0.487364115
38122_at,-0.486954324
36634_at,-0.486258629
36018_at,-0.48561438
40853_at,-0.485380117
31827_s_at,-0.485282908
AFFX-YEL021w/URA3_at,-0.484969273
38313_at,-0.484789055
36861_at,-0.483778651
38022_s_at,-0.48267243
35316_at,-0.482268697
33452_at,-0.480692343
41753_at,-0.480483484
41610_at,-0.479369703
39757_at,-0.479028485
41168_at,-0.478413499
40095_at,-0.477827035
33322_i_at,-0.47714778
1498_at,-0.476846745
40990_at,-0.476757252
738_at,-0.476525855
41225_at,-0.476476503
38674_at,-0.476454791
35781_g_at,-0.476300425
33836_at,-0.476116341
35363_at,-0.475425464
34296_at,-0.475422681
36499_at,-0.475056374
35396_at,-0.474747732
33895_at,-0.473866063
33929_at,-0.473491004
38120_at,-0.473089054
1656_s_at,-0.472526237
1713_s_at,-0.47222512
40496_at,-0.471799968
32215_i_at,-0.471049132
33412_at,-0.471025473
36537_at,-0.470996463
120_at,-0.47077862
36618_g_at,-0.47052289
32574_at,-0.469876357
32239_at,-0.469413488
32098_at,-0.469043612
654_at,-0.468618553
40792_s_at,-0.468504528
41291_at,-0.46839778
2049_s_at,-0.467937402
31944_at,-0.467908715
40077_at,-0.46756567
35194_at,-0.466066301
38150_at,-0.465755516
41485_at,-0.465212199
542_at,-0.4623342
182_at,-0.462153918
38126_at,-0.461921671
34180_at,-0.4618182
AFFX-BioDn-3_at,-0.46158406
32506_at,-0.461142121
32103_at,-0.461090633
2094_s_at,-0.459909562
33865_at,-0.458576679
37437_at,-0.458220787
36708_at,-0.457894989
34866_at,-0.457759037
35909_at,-0.457211522
35663_at,-0.457005959
31622_f_at,-0.456768753
40885_s_at,-0.456665197
31691_g_at,-0.456456593
31737_at,-0.455893145
34751_at,-0.455742257
33414_at,-0.455542977
31844_at,-0.455466687
33891_at,-0.454229787
41288_at,-0.454203059
38110_at,-0.454191937
40186_at,-0.454127348
31432_g_at,-0.453943409
35633_at,-0.453909829
33404_at,-0.453819333
1546_at,-0.452820153
884_at,-0.452581812
1347_at,-0.451922352
39119_s_at,-0.451787308
33399_at,-0.450956256
34213_at,-0.45089666
32076_at,-0.450292351
38717_at,-0.449252958
40448_at,-0.448839168
36834_at,-0.448778486
479_at,-0.448620371
34642_at,-0.448539596
33703_f_at,-0.44849229
647_at,-0.447679393
39700_at,-0.446923087
1005_at,-0.445706605
39623_at,-0.444929298
40642_at,-0.444664021
39597_at,-0.444590775
2089_s_at,-0.444338792
1069_at,-0.443761282
40367_at,-0.443728195
37680_at,-0.443483266
1879_at,-0.443456556
34820_at,-0.442058349
1276_g_at,-0.441436446
35314_at,-0.440933459
38409_at,-0.439869749
33890_at,-0.439371474
1563_s_at,-0.43796588
35684_at,-0.437315974
1319_at,-0.436919872
280_g_at,-0.436711942
37280_at,-0.436676856
39809_at,-0.435928268
37483_at,-0.435915379
37874_at,-0.434984015
AFFX-BioDn-5_at,-0.434775351
38261_at,-0.434494589
37578_at,-0.434427965
32635_at,-0.434006947
37598_at,-0.433193663
32174_at,-0.431869963
31342_at,-0.430675376
38042_at,-0.430528128
691_g_at,-0.430487127
1527_s_at,-0.429908359
31431_at,-0.429849716
39436_at,-0.428121684
37327_at,-0.427761642
32632_g_at,-0.427078617
38823_s_at,-0.427061642
37294_at,-0.426971405
37841_at,-0.426540721
36612_at,-0.426081494
1268_at,-0.425910479
37106_at,-0.425473573
406_at,-0.425394323
35724_at,-0.425050208
1825_at,-0.42482449
33989_f_at,-0.424559869
38630_at,-0.423772535
39062_at,-0.423678347
38655_at,-0.423393271
38471_r_at,-0.423199767
32985_at,-0.423198495
38081_at,-0.422754312
39614_at,-0.422155193
1643_g_at,-0.421030074
2039_s_at,-0.420957304
32288_r_at,-0.420875353
33244_at,-0.4203596
39065_s_at,-0.420234148
32190_at,-0.419224157
31943_g_at,-0.418944208
34160_at,-0.418739027
35275_at,-0.41834552
1125_s_at,-0.417935315
37539_at,-0.417705542
40452_at,-0.416651167
32216_r_at,-0.416512381
38997_at,-0.415122044
31897_at,-0.414978525
37692_at,-0.41488081
35745_f_at,-0.414845697
34297_at,-0.414320876
39663_at,-0.411958613
41195_at,-0.411665845
36076_g_at,-0.411474318
36650_at,-0.411339623
36600_at,-0.411331205
38797_at,-0.411316405
32749_s_at,-0.411302671
1348_s_at,-0.411272626
39277_at,-0.410245539
32566_at,-0.41021121
37719_at,-0.408596398
32861_s_at,-0.40833259
725_i_at,-0.408099399
33354_at,-0.408059819
35817_at,-0.407812752
36509_at,-0.407619782
38876_at,-0.407606139
34715_at,-0.406981528
34016_s_at,-0.406336714
34938_i_at,-0.406085094
38152_at,-0.405917487
41377_f_at,-0.40519003
40165_at,-0.40516788
33291_at,-0.404976044
39549_at,-0.404287209
37388_at,-0.403882262
32255_i_at,-0.403850361
2082_s_at,-0.403610115
880_at,-0.40350438
33856_at,-0.402443149
657_at,-0.401799084
35682_at,-0.401448608
34171_at,-0.401074719
40333_at,-0.400585554
41710_at,-0.400539962
35719_at,-0.400390839
35828_at,-0.399432739
37788_at,-0.399236012
41144_g_at,-0.398274053
39711_at,-0.39821374
31855_at,-0.398178407
35234_at,-0.398102367
37677_at,-0.397985063
40698_at,-0.397327016
1252_at,-0.397039059
33769_at,-0.396932775
39822_s_at,-0.396897801
41155_at,-0.396562375
340_at,-0.395882598
35238_at,-0.395536114
31526_f_at,-0.395212189
769_s_at,-0.394859811
33646_g_at,-0.394803144
36138_at,-0.394726433
